"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"7","Dota 2","Jul 9, 2013","Free","92% (90%)","55,769,721 ±168,581","195:38 (05:54)"
"67","PAYDAY 2","Aug 13, 2013","$19.99","93% (79%)","25,574,245 ±122,527","42:57 (12:07)"
"169","Warframe","Mar 25, 2013","Free","91% (68%)","8,719,898 ±74,133","60:29 (04:55)"
"41","War Thunder","Aug 15, 2013","Free","88% (82%)","6,811,801 ±65,776","40:12 (05:29)"
"357","No More Room in Hell","Oct 31, 2013","Free","91% (N/A)","4,875,850 ±55,867","07:12 (01:44)"
"18","Path of Exile","Oct 23, 2013","Free","93% (86%)","4,045,522 ±50,973","41:06 (04:36)"
"1","BioShock Infinite","Mar 25, 2013","$29.99","95% (94%)","3,665,303 ±48,555","15:03 (11:00)"
"123","Neverwinter","Dec 5, 2013","Free","81% (74%)","3,389,667 ±46,719","26:44 (05:11)"
"14","Tomb Raider","Mar 4, 2013","$19.99","95% (86%)","3,279,959 ±45,967","15:43 (10:40)"
"543","DayZ","Dec 16, 2013","$34.99","77% (N/A)","3,276,370 ±45,942","63:46 (19:05)"
"44","Marvel Heroes 2015","Jun 3, 2013","Free","81% (81%)","3,055,758 ±44,388","35:08 (01:23)"
"562","Rust","Dec 11, 2013","$19.99","84% (N/A)","2,763,545 ±42,237","71:14 (21:59)"
"172","Age of Empires II: HD Edition","Apr 9, 2013","$19.99","93% (68%)","2,488,763 ±40,104","33:14 (07:43)"
"27","Trine 2","Jun 6, 2013","$2.99","97% (84%)","2,291,733 ±38,499","05:51 (02:55)"
"15","Saints Row IV","Aug 19, 2013","$19.99","92% (86%)","2,228,848 ±37,971","21:16 (14:56)"
"100","Total War: ROME II - Emperor Edition","Sep 2, 2013","$59.95","76% (76%)","2,149,386 ±37,294","114:58 (39:46)"
"71","Euro Truck Simulator 2","Jan 16, 2013","$22.99","97% (79%)","2,088,551 ±36,767","48:34 (14:32)"
"539","Starbound","Dec 4, 2013","$12.74","90% (N/A)","1,951,160 ±35,547","45:36 (23:02)"
"249","Tactical Intervention","Oct 8, 2013","Free","67% (47%)","1,907,926 ±35,154","03:33 (00:28)"
"287","RaceRoom Racing Experience","Feb 12, 2013","Free","53% (N/A)","1,885,370 ±34,947","03:59 (00:26)"
"120","Arma 3","Sep 12, 2013","$59.99","90% (74%)","1,882,294 ±34,919","122:17 (32:26)"
"285","Cry of Fear","Apr 25, 2013","Free","89% (N/A)","1,837,351 ±34,502","03:12 (00:53)"
"53","Company of Heroes 2","Jun 25, 2013","$9.99","78% (80%)","1,785,915 ±34,019","60:19 (12:44)"
"119","Batman: Arkham Origins","Oct 24, 2013","$19.99","85% (74%)","1,497,632 ±31,171","18:32 (10:56)"
"11","The Stanley Parable","Oct 17, 2013","$14.99","91% (88%)","1,491,822 ±31,111","03:46 (02:17)"
